GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0051301,cell division,560,42,14.08,8,6.6e-9,2.6e-10,4.246384668423906e-4,"ANAPC11,ANAPC15,AURKB,BIRC5,BUB1,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDCA3,CDCA5,CDCA8,CDK1,CDK4,CENPW,CHMP6,CINP,CKS1B,CKS2,FAM83D,GPSM2,KIF20A,KIF23,KIF2C,MAD2L1,NDC80,NUSAP1,OIP5,PIN1,PLK1,PRC1,PSRC1,PTTG1,SPC24,TACC3,TPX2,TSG101,UBE2C,UNC119,ZNF830,ZWINT"
GO:0031145,anaphase-promoting complex-dependent catabolic process,80,12,2.01,33,7e-7,7e-7,0.022518706574975258,"ANAPC11,ANAPC15,AURKB,CCNB1,CDC20,CDK1,MAD2L1,PLK1,PSMA1,PSME2,PTTG1,UBE2C"
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",16,6,0.4,47,1.6e-6,1.6e-6,0.03431421954281944,"COX4I1,COX5A,COX6A1,COX7B,COX7C,COX8A"
GO:1903862,positive regulation of oxidative phosphorylation,10,5,0.25,51,2.2e-6,2.2e-6,0.03538653890353255,"CCNB1,CDK1,NUPR1,PARK7,PGK1"
GO:1902600,proton transmembrane transport,134,14,3.37,68,7.2e-6,7.2e-6,0.09264839276561249,"ATP6AP1,ATP6V1H,COX17,COX4I1,COX5A,COX6A1,COX7B,COX7C,COX8A,CYC1,NDUFA4L2,NDUFS7,PARK7,TMSB4X"
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",47,8,1.18,79,2e-5,2e-5,0.21446387214262153,"NDUFA2,NDUFB10,NDUFB7,NDUFB9,NDUFS7,NDUFS8,NDUFV1,PARK7"
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,99,13,2.49,40,5.8e-5,1.2e-6,0.5330959107545163,"ACTB,CCNA2,CCNB1,CCNB2,CCNE2,CDK4,CDKN3,CKS1B,CKS2,PKMYT1,PLK1,PSRC1,SERTAD1"
GO:0007080,mitotic metaphase plate congression,43,7,1.08,93,8.9e-5,8.9e-5,0.7157731732759992,"CCNB1,CDCA5,CDCA8,CHMP6,KIF2C,NDC80,PSRC1"
GO:0007077,mitotic nuclear envelope disassembly,12,4,0.3,103,1.7e-4,1.7e-4,1,"CCNB1,CCNB2,CDK1,PLK1"
GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint,14,4,0.35,121,3.2e-4,3.2e-4,1,"ANAPC15,CCNB1,MAD2L1,NDC80"
GO:1901992,positive regulation of mitotic cell cycle phase transition,88,9,2.21,125,3.6e-4,3.6e-4,1,"ANAPC11,ANXA1,CCNB1,CDC45,CDCA5,CDK1,CDK4,LSM10,UBE2C"
