GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0051607,defense response to virus,228,29,5.47,2,2.1e-11,2.1e-13,8.685786821776171e-7,"BST2,EXOSC4,GBP1,IFI27,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IL6,ISG15,MICB,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PMAIP1,POLR3D,PYCARD,RSAD2,RTP4,STAT1,TRIM11,TRIM22,UNC93B1,ZC3H12A"
GO:0060337,type I interferon signaling pathway,88,17,2.11,3,2.7e-11,2.7e-11,8.685786821776171e-7,"BST2,IFI27,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,STAT1"
GO:0051301,cell division,560,41,13.44,7,2.2e-10,2.2e-10,4.718205187137673e-6,"AURKB,BIN3,BORA,BUB1,BUB1B,CCNA1,CCNA2,CCNB1,CDC20,CDCA3,CDCA5,CDCA8,CDK1,CKS2,ERCC6L,FBXO5,HAUS8,IGF2,KATNA1,KIF23,KIFC1,KNSTRN,MAD2L1,NCAPG,NDC80,NEDD9,NUSAP1,OIP5,PRC1,PTN,PTTG1,RACGAP1,REEP4,SPC24,STMN1,TACC3,TIPIN,TPX2,TUBB,ZNF16,ZWINT"
GO:0045071,negative regulation of viral genome replication,55,11,1.32,15,6.2e-8,6.2e-8,9.972570054631899e-4,"BST2,IFIT1,IFITM1,IFITM2,ISG15,MX1,OAS1,OAS3,OASL,RSAD2,ZC3H12A"
GO:0031145,anaphase-promoting complex-dependent catabolic process,80,11,1.92,66,3.2e-6,3.2e-6,0.041177063451383326,"AURKB,BUB1B,CCNB1,CDC20,CDK1,FBXO5,MAD2L1,PSMB9,PSMD14,PSME2,PTTG1"
GO:0060333,interferon-gamma-mediated signaling pathway,73,9,1.75,104,6e-5,6e-5,0.5606698371728533,"B2M,GBP1,OAS1,OAS2,OAS3,OASL,PARP9,STAT1,TRIM22"
GO:0051231,spindle elongation,10,4,0.24,105,6.1e-5,6.1e-5,0.5606698371728533,"AURKB,KIF23,PRC1,RACGAP1"
GO:0035455,response to interferon-alpha,20,5,0.48,113,9e-5,9e-5,0.7238155684813476,"BST2,IFIT3,IFITM1,IFITM2,MX2"
GO:0008284,positive regulation of cell population proliferation,908,44,21.8,76,1.9e-4,7.3e-6,1,"ADM,AREG,BST2,CCK,CCNA2,CCNB1,CD74,CDC20,CDH3,CDK1,CLCF1,EDN1,EDN2,EGFL7,FBXO5,FGFBP1,HBEGF,HRAS,HYAL1,IGF2,IGFBP5,IL11RA,IL6,KDR,LIF,MALAT1,MMP2,NMB,NR4A1,NRP2,PNP,PRAME,PRC1,PTN,PYCARD,S1PR1,SIX2,SLC25A33,STAT1,TIMP1,TIPIN,VAV3,VTCN1,ZNF16"
GO:0000070,mitotic sister chromatid segregation,144,21,3.46,5,2.4e-4,3.4e-11,1,"AURKB,BUB1,BUB1B,CCNB1,CDC20,CDCA5,CDCA8,DLGAP5,FBXO5,KIF23,KIFC1,KNSTRN,MAD2L1,NCAPG,NDC80,NUSAP1,PRC1,PTTG1,RACGAP1,TACC3,ZWINT"
GO:1905809,negative regulation of synapse organization,25,5,0.6,134,2.8e-4,2.8e-4,1,"DKK1,EFNA1,EPHA7,PRNP,PTN"
GO:0071347,cellular response to interleukin-1,176,13,4.23,139,3.4e-4,3.4e-4,1,"EDN1,GBP1,HYAL1,HYAL3,IL1RN,IL6,LCN2,PSMB9,PSMD14,PSME2,PYCARD,ZC3H12A,ZNF675"
GO:0042246,tissue regeneration,73,8,1.75,140,3.5e-4,3.5e-4,1,"APOD,BIN3,CCNB1,DUSP10,ENO3,KLK6,NINJ2,PTN"
GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,27,5,0.65,145,4.1e-4,4.1e-4,1,"CCNB1,CDK1,DTL,FBXO5,RAD51C"
GO:0001516,prostaglandin biosynthetic process,27,5,0.65,146,4.1e-4,4.1e-4,1,"CD74,EDN1,EDN2,PTGDS,PTGES"
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,189,16,4.54,88,4.4e-4,1.4e-5,1,"AREG,CCK,CD74,CLCF1,DOK7,EFNA1,GPRC5B,HBEGF,HGF,IGF2,IL6,ITGA5,LIF,NEDD9,PARP9,PRNP"
GO:0045785,positive regulation of cell adhesion,389,21,9.34,154,4.9e-4,4.9e-4,1,"CCDC80,CD74,CD83,DUSP10,EMILIN3,FSTL3,HYAL1,IGF2,IL6,ITGA5,KDR,NEDD9,P2RY12,PNP,PTN,PYCARD,RET,SMAD7,VAV3,VIT,VTCN1"
GO:2000647,negative regulation of stem cell proliferation,17,4,0.41,164,6.1e-4,6.1e-4,1,"FBLN1,KCTD11,OVOL1,PTN"
GO:0033628,regulation of cell adhesion mediated by integrin,45,6,1.08,168,6.8e-4,6.8e-4,1,"EFNA1,EPHA2,MUC1,P2RY12,PLAU,RET"
GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,31,5,0.74,175,7.9e-4,7.9e-4,1,"EDN1,GPR17,LPAR1,LPAR3,S1PR1"
GO:0007052,mitotic spindle organization,101,12,2.42,69,8.1e-4,5.4e-6,1,"AURKB,BORA,CCNB1,CDC20,KIF23,KIFC1,NDC80,PRC1,RACGAP1,STMN1,TACC3,TPX2"
GO:0001101,response to acid chemical,330,18,7.92,189,0.00108,0.00108,1,"CCNB1,CDO1,DKK1,EDN1,FABP3,FOLR1,GJB3,KDR,MICB,MMP2,PTGES,PTN,RBP4,RET,SPARC,TYMS,WNT9A,ZC3H12A"
GO:0007094,mitotic spindle assembly checkpoint,34,7,0.82,83,0.00114,1.3e-5,1,"AURKB,BUB1,BUB1B,CCNB1,CDC20,MAD2L1,NDC80"
