GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0060337,type I interferon signaling pathway,88,16,1.99,1,1.1e-10,1.1e-10,7.077307780706509e-6,"IFI27,IFI35,IFI6,IFIT1,IFIT2,IFIT3,IFITM1,IFITM3,ISG15,ISG20,MX1,OAS1,OASL,PSMB8,RSAD2,USP18"
GO:0051607,defense response to virus,228,22,5.15,4,1.1e-8,1.1e-8,3.5386538903532547e-4,"APOBEC3B,DHX58,GBP1,IFI27,IFI6,IFIT1,IFIT2,IFIT3,IFITM1,IFITM3,ISG15,ISG20,MX1,OAS1,OASL,PYCARD,RSAD2,RTP4,TLR3,TRIM22,TRIM34,UNC93B1"
GO:0045071,negative regulation of viral genome replication,55,9,1.24,16,3.5e-6,3.5e-6,0.07506235524991753,"IFIT1,IFITM1,IFITM3,ISG15,ISG20,MX1,OAS1,OASL,RSAD2"
GO:0007077,mitotic nuclear envelope disassembly,12,4,0.27,27,1.1e-4,1.1e-4,1,"CCNB1,CCNB2,PLK1,PRKCB"
GO:0060333,interferon-gamma-mediated signaling pathway,73,8,1.65,30,2.3e-4,2.3e-4,1,"B2M,GBP1,IFI30,OAS1,OASL,TRIM21,TRIM22,TRIM34"
GO:0042737,drug catabolic process,136,11,3.07,32,2.6e-4,2.6e-4,1,"ADA,CTSH,CYP2J2,CYP4B1,GPX1,HGD,MAOA,MOXD1,NT5E,RENBP,SDS"
GO:0006195,purine nucleotide catabolic process,44,6,0.99,36,4.3e-4,4.3e-4,1,"ADA,GPX1,NT5E,NUDT1,NUDT10,NUDT7"
GO:0035455,response to interferon-alpha,20,4,0.45,42,0.00093000000000000005,0.00093000000000000005,1,"IFIT2,IFIT3,IFITM1,IFITM3"
GO:0045777,positive regulation of blood pressure,35,5,0.79,43,0.00106,0.00106,1,"ADRA1B,ID2,NMU,QRFP,TPM1"
GO:0046386,deoxyribose phosphate catabolic process,21,4,0.47,44,0.00113,0.00113,1,"ADA,NT5M,NUDT1,PGM2"
GO:0055114,oxidation-reduction process,948,41,21.39,25,0.00129,4.9e-5,1,"AKR1B1,BBOX1,CBR3,CCNB1,COX5B,COX7B,CP,CYP2J2,CYP4B1,CYP4X1,DEGS2,DHRS3,DHRS7,DHRS7B,ECI1,ECI2,FADS3,GFOD1,GLRX2,GLRX5,GMPR,GPX1,GYG2,HACL1,HGD,HIGD2A,IFI30,KDM4D,LDHB,MAOA,MOXD1,MTFR2,NDUFS4,PDIA5,PGM2,PHGDH,PHKG1,PIR,RDH14,SELENBP1,SURF1"
GO:0010460,positive regulation of heart rate,23,4,0.52,47,0.00161,0.00161,1,"ADA,EDN2,NMU,TPM1"
GO:0006563,L-serine metabolic process,11,3,0.25,48,0.00164,0.00164,1,"PHGDH,PSAT1,SDS"
GO:0097066,response to thyroid hormone,25,4,0.56,52,0.00222,0.00222,1,"AKR1B1,ANXA2,CTSH,LMO2"
GO:0009612,response to mechanical stimulus,204,12,4.6,54,0.00236,0.00236,1,"CASP1,CCNB1,CHI3L1,CRADD,FOS,GDF5,PTK2B,SERPINE2,TCAP,TLR3,TLR5,TXNIP"
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,82,7,1.85,55,0.00251,0.00251,1,"CASP1,CASP4,CRADD,CTSH,LCK,PYCARD,TNFSF10"
GO:0045600,positive regulation of fat cell differentiation,63,6,1.42,59,0.00292,0.00292,1,"AAMDC,CCDC3,ID2,SFRP2,ZBTB16,ZNF385A"
GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,27,4,0.61,60,0.00297,0.00297,1,"CD74,CLU,SFRP2,ZNF385A"
GO:0071346,cellular response to interferon-gamma,159,15,3.59,15,0.00299,3.2e-6,1,"B2M,CASP1,CD58,CDC42EP2,CLDN1,GBP1,GBP7,IFI30,OAS1,OASL,RPL13A,TLR3,TRIM21,TRIM22,TRIM34"
GO:0045778,positive regulation of ossification,86,7,1.94,61,0.00329,0.00329,1,"FAM20C,HGF,IFITM1,ISG15,OSR2,SFRP2,ZBTB16"
