GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0043085,positive regulation of catalytic activity,1371,54,31.27,65,5.3e-5,5.3e-5,1,"AGAP11,ALOX5AP,APOE,ARHGAP10,ARHGAP22,ARHGAP24,ARHGAP25,ARHGDIB,CAMK1,CASP1,CASP9,CSF1R,CTSH,CXCL1,CYBA,FGF13,FYN,GADD45B,GTF2H4,HGF,HMGA2,IQSEC1,LCK,LPAR3,LTC4S,MAP2K4,MAPRE2,MEF2C,MYL4,NAF1,NCF2,NCKAP1L,NVL,P2RY6,PDGFA,PKIB,PPARG,PREX1,PSEN2,PSME2,PTK2B,RASA1,RGS1,RHOG,S1PR1,STOX1,STRADB,TGFB2,TIMP2,TLR3,TNF,UCN,XRCC4,ZEB2"
GO:0045730,respiratory burst,32,6,0.73,77,7.4e-5,7.4e-5,1,"CYBA,CYBB,DUSP10,HCK,NCF2,RAC2"
GO:0045579,positive regulation of B cell differentiation,12,4,0.27,86,1.1e-4,1.1e-4,1,"BTK,INPP5D,NCKAP1L,XBP1"
GO:0008360,regulation of cell shape,145,12,3.31,91,1.2e-4,1.2e-4,1,"BAMBI,CORO1A,CSF1R,FYN,HCK,PLEKHO1,PLXNC1,PTK2B,RASA1,RHOG,RHOH,RHOV"
GO:0010977,negative regulation of neuron projection development,148,12,3.38,100,1.5e-4,1.5e-4,1,"APOE,CD38,CTSZ,FGF13,LGALS1,PAQR3,PLK2,PMP22,RTN4,SPP1,VIM,YWHAH"
GO:0030833,regulation of actin filament polymerization,152,12,3.47,112,1.9e-4,1.9e-4,1,"BIN1,CORO1A,COTL1,ELN,HCK,HCLS1,NCKAP1L,PREX1,PTK2B,RASA1,TRIM27,VILL"
GO:0090279,regulation of calcium ion import,39,6,0.89,119,2.3e-4,2.3e-4,1,"FYN,LGALS3,PSEN2,SLC30A1,TRIM27,UCN"
GO:0045124,regulation of bone resorption,40,6,0.91,125,2.7e-4,2.7e-4,1,"CD38,CSF1R,INPP5D,S1PR1,SIGLEC15,SPP1"
GO:0043525,positive regulation of neuron apoptotic process,57,7,1.3,128,3e-4,3e-4,1,"CASP9,CDC34,CTSZ,MAP2K4,RAPSN,TGFB2,TNF"
GO:0030335,positive regulation of cell migration,511,30,11.65,22,3.4e-4,2.3e-6,1,"AIF1,C3AR1,CORO1A,CSF1R,CTSH,CXCL14,DAB2,FERMT3,HBEGF,HGF,HMOX1,IQSEC1,ITGA5,LGALS3,MAPRE2,NCKAP1L,P2RY6,PDGFA,PLK2,PREX1,PTK2B,RAC2,RTN4,S1PR1,SOD2,SPARC,TGFB2,TNF,TNFRSF14,XBP1"
GO:0050853,B cell receptor signaling pathway,61,7,1.39,142,4.6e-4,4.6e-4,1,"BTK,CD38,LCK,LPXN,MEF2C,NCKAP1L,PRKCB"
GO:0048661,positive regulation of smooth muscle cell proliferation,100,9,2.28,144,4.6e-4,4.6e-4,1,"AIF1,CYBA,HBEGF,HMOX1,ID2,P2RY6,S1PR1,TGM2,TNF"
GO:0071230,cellular response to amino acid stimulus,62,7,1.41,150,5.1e-4,5.1e-4,1,"COL1A2,CYBA,CYBB,FYN,SESN1,TNF,XBP1"
GO:0060485,mesenchyme development,271,16,6.18,151,5.1e-4,5.1e-4,1,"ACTA1,ACTA2,ACTG2,ANXA6,BAMBI,DAB2,DLL3,HGF,HMGA2,MEF2C,MEOX1,RTN4,SMAD7,TGFB2,TRIM62,ZEB2"
GO:0045766,positive regulation of angiogenesis,194,13,4.42,154,5.2e-4,5.2e-4,1,"C3AR1,CTSH,CYBB,HGF,HMGA2,HMOX1,ITGA5,PLK2,PRKCB,PTK2B,RRAS,TLR3,XBP1"
GO:0034375,high-density lipoprotein particle remodeling,18,4,0.41,160,6.3e-4,6.3e-4,1,"ABCG1,ALB,APOE,LCAT"
GO:0002313,mature B cell differentiation involved in immune response,18,4,0.41,161,6.3e-4,6.3e-4,1,"ADA,LGALS1,PTK2B,XBP1"
