GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0031100,animal organ regeneration,72,10,1.57,1,3.4e-6,3.4e-6,0.21875314958547393,"ANXA3,APOA1,CDKN1A,CLDN1,CXCL12,GSTP1,HGF,HMOX1,PCNA,PPARG"
GO:0055114,oxidation-reduction process,948,40,20.65,3,4.8e-5,4.8e-5,1,"ACADS,ACAT2,AKR1C2,ALKBH2,ALKBH3,APOA1,BBOX1,BLVRA,CHCHD4,COQ10A,COX7B,CYP17A1,CYP2J2,CYP2R1,CYP4X1,CYP4Z1,DDO,ECI1,FABP3,FADS3,FDXR,GLRX2,GNMT,HIGD2A,HMOX1,HPGD,HSPBAP1,LDHB,MLYCD,MSRB1,MTHFD2,NHLRC1,NQO2,PHLDA2,PIR,PPARG,RBKS,RDH14,RPIA,STEAP1"
GO:2000278,regulation of DNA biosynthetic process,105,9,2.29,10,4.8e-4,4.8e-4,1,"CDKN1A,DSCC1,DUSP1,HGF,NVL,PAK3,PINX1,PPARG,PTK2B"
GO:0002313,mature B cell differentiation involved in immune response,18,4,0.39,12,5.3e-4,5.3e-4,1,"ADA,ITM2A,PTK2B,XBP1"
GO:0043392,negative regulation of DNA binding,53,6,1.15,15,9.9e-4,9.9e-4,1,"DDIT3,ENHO,HAND1,HMOX1,ID3,NFKBIA"
GO:0042542,response to hydrogen peroxide,141,10,3.07,16,0.00105,0.00105,1,"ADA,AREG,CRYAB,DUSP1,GLRX2,HGF,HMOX1,MB,PCNA,PTK2B"
GO:0042271,susceptibility to natural killer cell mediated cytotoxicity,10,3,0.22,17,0.0011,0.0011,1,"RAET1L,ULBP2,ULBP3"
GO:0051384,response to glucocorticoid,144,10,3.14,19,0.00123,0.00123,1,"ANXA3,AREG,CDKN1A,CLDN1,DUSP1,FOS,GSTP1,MDK,PCNA,SPARC"
GO:0042445,hormone metabolic process,226,13,4.92,23,0.00141,0.00141,1,"AKR1C2,APOA1,CPE,CYP17A1,CYP2R1,DDO,DKKL1,ECE2,ENPEP,FDXR,PON3,RBP1,RDH14"
GO:0055091,phospholipid homeostasis,11,3,0.24,24,0.00149,0.00149,1,"APOA1,FABP3,TLCD1"
GO:0008610,lipid biosynthetic process,672,27,14.64,26,0.00171,0.00171,1,"ABHD6,ACAT2,APOA1,ASAH2B,CYP17A1,CYP2R1,DGKA,DKKL1,EDN2,ENHO,ETNK2,FABP3,FADS3,FDXR,HMGCS2,HPGD,LCAT,MLYCD,PDSS1,PIGH,PTGDS,RBP1,SGPP2,ST3GAL4,THRSP,TRIB3,XBP1"
GO:0043523,regulation of neuron apoptotic process,205,12,4.47,27,0.00184,0.00184,1,"CLCF1,CORO1A,CX3CL1,DDIT3,GDF5,HMOX1,HRAS,MDK,NQO2,PAK3,PTK2B,RAPSN"
