GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",47,16,1.2,6,1.7e-14,1.7e-14,1.0937657479273697e-9,"NDUFA1,NDUFA11,NDUFA13,NDUFA3,NDUFA7,NDUFB1,NDUFB10,NDUFB2,NDUFB5,NDUFB7,NDUFB8,NDUFB9,NDUFS5,NDUFS8,NDUFV1,PARK7"
GO:0032981,mitochondrial respiratory chain complex I assembly,55,15,1.4,9,4.5e-12,4.5e-12,1.447631136962695e-7,"NDUFA1,NDUFA11,NDUFA13,NDUFA3,NDUFA7,NDUFB1,NDUFB10,NDUFB2,NDUFB5,NDUFB7,NDUFB8,NDUFB9,NDUFS5,NDUFS8,NDUFV1"
GO:0043312,neutrophil degranulation,472,36,12.01,15,4.6e-9,4.6e-9,9.865338118560589e-5,"AGPAT2,ANXA2,ANXA3,ARPC5,ATP6AP2,BST2,C3,CAPN1,CHI3L1,CST3,CSTB,CTSD,CXCL1,CYBA,DBNL,DYNLT1,GGH,GLB1,GSN,HBB,HP,IMPDH2,JUP,LAMTOR1,LAMTOR2,LCN2,LGALS3,MVP,NIT2,OLFM4,PGAM1,PRDX4,RNASET2,SERPINA3,SLPI,TMEM179B"
GO:0098869,cellular oxidant detoxification,95,11,2.42,48,2.9e-5,2.9e-5,0.4664589219102018,"GPX3,GPX4,GPX7,HBA1,HBB,HP,MGST2,PARK7,PRDX4,PRDX5,SOD2"
GO:0042744,hydrogen peroxide catabolic process,32,6,0.81,68,1.4e-4,1.4e-4,1,"GPX3,HBA1,HBB,HP,PRDX4,PRDX5"
GO:0034314,Arp2/3 complex-mediated actin nucleation,34,6,0.87,73,1.9e-4,1.9e-4,1,"ACTR3,ARPC1B,ARPC3,ARPC5,BRK1,CORO1B"
GO:0000715,"nucleotide-excision repair, DNA damage recognition",23,5,0.59,75,2.4e-4,2.4e-4,1,"COPS5,COPS6,GPS1,RBX1,UBB"
GO:0019730,antimicrobial humoral response,105,10,2.67,79,3.4e-4,3.4e-4,1,"CXCL1,CXCL3,KLK5,KLK7,LCN2,PDZD11,PI3,RARRES2,ROMO1,SLPI"
GO:0016032,viral process,798,41,20.31,44,3.9e-4,1.6e-5,1,"ANXA2,AP1M2,AP2M1,BST2,C1QBP,CCL2,CD81,CLDN6,COPS6,CXCR4,DYNLT1,EIF3L,FBLN1,FDPS,GSN,HDAC1,IFITM1,IFITM2,IFITM3,ISG15,KRT19,KRT7,LGALS1,NFKBIA,POLR2L,PPIB,PPP1CA,PSMA7,PSMB8,RANBP1,RBX1,RPL13A,RPL23,RPS21,RPS26,RPS29,SLC25A5,SLPI,UBB,VDAC1,VPS28"
GO:0035456,response to interferon-beta,26,5,0.66,86,4.4e-4,4.4e-4,1,"BST2,IFITM1,IFITM2,IFITM3,NDUFA13"
GO:0000098,sulfur amino acid catabolic process,15,4,0.38,88,4.5e-4,4.5e-4,1,"CBS,CDO1,MPST,TXN2"
GO:0010951,negative regulation of endopeptidase activity,241,16,6.13,89,4.7e-4,4.7e-4,1,"BST2,C3,CST3,CST5,CSTB,DHCR24,IFI6,PARK7,PI3,POR,PRDX5,SERPINA3,SERPING1,SLPI,TIMP1,WFDC2"
GO:0006283,transcription-coupled nucleotide-excision repair,73,8,1.86,90,5.2e-4,5.2e-4,1,"COPS5,COPS6,GPS1,HMGN1,POLD2,POLR2L,RBX1,UBB"
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",16,4,0.41,94,5.9e-4,5.9e-4,1,"COX5B,COX6B1,COX6C,COX7C"
GO:0022617,extracellular matrix disassembly,76,8,1.93,99,6.8e-4,6.8e-4,1,"BSG,CAPN1,CST3,FLOT1,KLK5,KLK7,MMP7,TIMP1"
GO:0009725,response to hormone,954,41,24.28,100,7.2e-4,7.2e-4,1,"AKR1B1,ALPL,ANXA2,ANXA3,AP3S1,APEX1,ARPC1B,ASS1,ATP6V1G2,BSG,CDO1,CYBA,CYC1,DDRGK1,DHCR24,EIF6,FAM107A,GDF15,GGH,GLB1,GPX4,HDAC1,IGF2,JUNB,LYPD1,MDK,NME1,NR0B2,PARK7,POR,RARRES2,RORB,RUVBL2,SLC2A1,TCF21,TIMP1,TNFSF10,TSHB,TSPO,TXN2,TYMS"
GO:0009200,deoxyribonucleoside triphosphate metabolic process,17,4,0.43,102,7.6e-4,7.6e-4,1,"DCTPP1,ITPA,NUDT1,TYMS"
