GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0031145,anaphase-promoting complex-dependent catabolic process,80,17,2.03,1,1.3e-11,1.3e-11,8.364091013562239e-7,"AURKB,CCNB1,CDC20,CDC26,CDK1,FBXO5,MAD2L1,PLK1,PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10,UBE2C"
GO:0051301,cell division,560,38,14.22,15,8.3e-7,3.8e-8,0.020374067853549043,"ACTR3,ANLN,AURKB,BECN1,BIRC5,CCNB1,CCNB2,CDC20,CDC26,CDCA3,CDCA5,CDK1,CENPW,CETN2,CHMP2A,CINP,CKS1B,DYNLT1,FAM83D,FBXO5,KIF23,KIFC1,MAD2L1,MAEA,MDK,NSMCE2,NUSAP1,PLK1,PPP1CA,PRC1,RUVBL1,STMN1,TOP2A,TPX2,TUBA1B,UBE2C,WNT7A,ZWINT"
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",68,11,1.73,35,1e-6,1e-6,0.020374067853549043,"B2M,PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10,SEC22B,VAMP8"
GO:0043312,neutrophil degranulation,472,31,11.98,39,1.4e-6,1.4e-6,0.020374067853549043,"ANXA3,B2M,CD14,CD63,CEACAM6,CTSH,DBNL,DYNLT1,FABP5,FCER1G,GGH,GLB1,GRN,HBB,HP,IDH1,LGALS3,MGST1,ORM2,OSTF1,PGRMC1,PSMB1,PSMB7,PYCARD,RHOF,S100A8,S100A9,SLPI,TMBIM1,TYROBP,VAMP8"
GO:0070125,mitochondrial translational elongation,86,12,2.18,41,1.7e-6,1.7e-6,0.020374067853549043,"MRPL16,MRPL20,MRPL23,MRPL24,MRPL36,MRPL39,MRPL45,MRPS21,MRPS22,MRPS6,MRPS7,MRPS9"
GO:0070126,mitochondrial translational termination,87,12,2.21,44,1.9e-6,1.9e-6,0.020374067853549043,"MRPL16,MRPL20,MRPL23,MRPL24,MRPL36,MRPL39,MRPL45,MRPS21,MRPS22,MRPS6,MRPS7,MRPS9"
GO:0030593,neutrophil chemotaxis,100,12,2.54,67,8.6e-6,8.6e-6,0.07318579636866958,"CCL17,CCL18,CCL3,CCL3L3,CCL4,CKLF,FCER1G,IL1RN,LGALS3,MDK,S100A8,S100A9"
GO:0032981,mitochondrial respiratory chain complex I assembly,55,9,1.4,68,9.1e-6,9.1e-6,0.07318579636866958,"NDUFA8,NDUFA9,NDUFAB1,NDUFB4,NDUFB5,NDUFB6,NDUFV2,TIMM21,TMEM126B"
GO:0006695,cholesterol biosynthetic process,72,10,1.83,71,1.3e-5,1.3e-5,0.09293434459513597,"ACAA2,ACAT2,APOA1,ARV1,DHCR7,EBP,FDPS,NSDHL,PMVK,SOD1"
GO:0002576,platelet degranulation,124,13,3.15,77,1.6e-5,1.6e-5,0.10294265862845832,"ACTN1,ANXA5,APOA1,CD63,CLU,FCER1G,FN1,ORM2,SCCPDH,SOD1,SRGN,TEX264,TMSB4X"
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,23,6,0.58,80,1.8e-5,1.8e-5,0.10528226450637783,"PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9"
GO:0019674,NAD metabolic process,49,8,1.24,93,2.9e-5,2.9e-5,0.1554863073034006,"BPGM,LDHA,LDHB,MDH1,NMRK1,PFKP,PGK1,QPRT"
GO:0090307,mitotic spindle assembly,54,8,1.37,119,6e-5,6e-5,0.2969499768128605,"AURKB,BIRC5,CDC20,CHMP2A,KIF23,KIFC1,PLK1,TPX2"
GO:0033209,tumor necrosis factor-mediated signaling pathway,159,17,4.04,30,6.6e-5,6.2e-7,0.3033131906017076,"APOA1,CARD16,CASP1,CASP4,PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10,PYCARD,SPPL2A,TMSB4X,TNFRSF13B,TNFRSF14"
GO:0051384,response to glucocorticoid,144,13,3.66,126,7.8e-5,7.8e-5,0.33456364054248955,"AIF1,ALPL,ANXA1,ANXA3,AREG,ASS1,BAD,FAM107A,GJB2,GLB1,IL1RN,MDK,TYMS"
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,90,10,2.28,129,9.3e-5,9.3e-5,0.3739713770486962,"AURKB,CDK1,PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10"
GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,75,9,1.9,133,1.1e-4,1.1e-4,0.4163122223945006,"CA9,PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10"
GO:0006521,regulation of cellular amino acid metabolic process,62,8,1.57,143,1.6e-4,1.6e-4,0.5468828739636848,"PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10"
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",47,7,1.19,145,1.7e-4,1.7e-4,0.5468828739636848,"NDUFA8,NDUFA9,NDUFAB1,NDUFB4,NDUFB5,NDUFB6,NDUFV2"
GO:0007077,mitotic nuclear envelope disassembly,12,4,0.3,146,1.7e-4,1.7e-4,0.5468828739636848,"CCNB1,CCNB2,CDK1,PLK1"
GO:0042775,mitochondrial ATP synthesis coupled electron transport,81,13,2.06,21,1.8e-4,1.2e-7,0.551478528366741,"CCNB1,CDK1,COX6A1,COX7B,NDUFA8,NDUFA9,NDUFAB1,NDUFB4,NDUFB5,NDUFB6,NDUFV2,UQCRC1,UQCRH"
GO:0002548,monocyte chemotaxis,64,8,1.62,151,2.1e-4,2.1e-4,0.6141465429538706,"AIF1,ANXA1,CCL17,CCL18,CCL3,CCL3L3,CCL4,LGALS3"
GO:0006732,coenzyme metabolic process,242,19,6.14,73,3.6e-4,1.4e-5,1,"ACBD6,CYB5A,FOLR1,GGH,GSTO1,HMGCL,IDH2,NDUFA9,NMRK1,NNMT,OXSM,PDHB,PMVK,PPCS,PPT1,QDPR,QPRT,TYMS,VNN2"
GO:1901992,positive regulation of mitotic cell cycle phase transition,88,9,2.23,180,3.9e-4,3.9e-4,1,"AIF1,ANXA1,CCNB1,CDCA5,CDK1,FBXO5,LSM10,NSMCE2,UBE2C"
GO:0043066,negative regulation of apoptotic process,870,39,22.09,185,4.2e-4,4.2e-4,1,"ACAA2,AIF1,ANGPTL4,ANXA1,ANXA5,ARF4,AURKB,BAD,BCL2A1,BECN1,BIRC5,CARD16,CDK1,CEACAM6,CLU,CTSH,FCER1G,GRN,HDAC1,ID1,LGALS3,MAD2L1,MAEA,MDK,MSX2,PLK1,PPT1,PSMD10,RAMP2,SLC40A1,SNAI1,SOD1,TMBIM1,TMEM14A,TREM2,VDAC2,VTCN1,WNT7A,ZFAND6"
GO:0048678,response to axon injury,76,10,1.93,83,4.2e-4,2.1e-5,1,"AIF1,APOA1,ARF4,CDK1,FOLR1,GRN,KLK8,SOD1,SPP1,TYROBP"
GO:1902036,regulation of hematopoietic stem cell differentiation,71,8,1.8,186,4.2e-4,4.2e-4,1,"PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10"
GO:1902600,proton transmembrane transport,134,11,3.4,204,6.2e-4,6.2e-4,1,"ATP6AP1,ATP6V0B,ATP6V1B1,ATP6V1E1,ATP6V1G2,C15orf48,COX6A1,COX7A2,COX7B,CYB5A,TMSB4X"
GO:0055114,oxidation-reduction process,948,60,24.07,2,7.5e-4,4.9e-11,1,"ACAA2,ACAT2,AKR1C3,APOA1,BLVRA,BLVRB,BPGM,C15orf48,CBR1,CBS,CCNB1,CDK1,COA6,COX6A1,COX7A2,COX7B,CYB5A,CYP4B1,DECR1,DEGS2,DHCR7,DHRS1,DHRS13,DHRS3,DHRS7,ECHS1,ETFB,FASTKD5,GPX7,GRHPR,GSTO1,IDH1,IDH2,IFI30,LDHA,LDHB,MDH1,MGST1,NDUFA8,NDUFA9,NDUFAB1,NDUFB4,NDUFB5,NDUFB6,NDUFV2,NQO2,NSDHL,PDHB,PDIA6,PFKP,PGK1,PPP1CA,QDPR,SCCPDH,SCP2,SELENBP1,SOD1,STEAP1,UQCRC1,UQCRH"
GO:1903978,regulation of microglial cell activation,17,4,0.43,212,7.5e-4,7.5e-4,1,"CCL3,CST7,GRN,TREM2"
GO:0071346,cellular response to interferon-gamma,159,12,4.04,214,7.6e-4,7.6e-4,1,"ACTR3,AIF1,ASS1,B2M,CASP1,CCL17,CCL18,CCL3,CCL3L3,CCL4,IFI30,IRF9"
GO:0046686,response to cadmium ion,61,7,1.55,224,8.7e-4,8.7e-4,1,"AKR1C3,B2M,CDK1,CYB5A,GSS,MT1F,SOD1"
GO:0009060,aerobic respiration,79,8,2.01,225,8.7e-4,8.7e-4,1,"COX6A1,COX7B,IDH1,IDH2,MDH1,PDHB,UQCRC1,UQCRH"
GO:0048247,lymphocyte chemotaxis,62,7,1.57,230,9.5e-4,9.5e-4,1,"CCL17,CCL18,CCL27,CCL3,CCL3L3,CCL4,CKLF"
GO:0070498,interleukin-1-mediated signaling pathway,100,9,2.54,233,0.001,0.001,1,"IL1RN,PSMA4,PSMA6,PSMB1,PSMB7,PSMB8,PSMB9,PSMC5,PSMD10"
GO:0030261,chromosome condensation,31,5,0.79,235,0.00101,0.00101,1,"CCNB1,CDCA5,CDK1,NUSAP1,TOP2A"
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,83,8,2.11,241,0.00121,0.00121,1,"CAPZA2,CAPZB,CTSF,FCER1G,IFI30,KIF23,PYCARD,TREM2"
