GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0043312,neutrophil degranulation,472,36,11.61,23,1.9e-9,1.9e-9,1.2224440712129425e-4,"ASAH1,ATP6AP2,B2M,BST2,CD14,CD58,CDA,CEACAM6,COMMD3,CST3,CTSD,CTSH,CYBA,DBNL,GSN,HBB,HSPA6,LCN2,LGALS3,MGST1,MVP,OLFM4,PLAUR,PTGES2,PYCARD,QSOX1,RHOF,RNASET2,S100A8,S100A9,S100P,SERPINA1,SLPI,TCN1,TMBIM1,VAMP8"
GO:0060337,type I interferon signaling pathway,88,14,2.17,37,2.9e-8,2.9e-8,9.329178438204035e-4,"BST2,IFI27,IFI35,IFI6,IFIT2,IFITM3,ISG15,ISG20,MIR21,MX1,MYD88,OAS1,OAS2,PSMB8"
GO:0045071,negative regulation of viral genome replication,55,11,1.35,43,7.9e-8,7.9e-8,0.0016942645899267101,"APOBEC3A,APOBEC3C,BST2,IFI16,IFITM3,ISG15,ISG20,MIR222,MX1,OAS1,SLPI"
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",68,11,1.67,62,7.6e-7,7.6e-7,0.012224440712129426,"B2M,CYBA,NCF4,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,SEC22B,VAMP8"
GO:0045087,innate immune response,796,60,19.59,2,1.5e-6,7.1e-15,0.019301748492835936,"AIF1,APOBEC3A,APOBEC3B,APOBEC3C,ASS1,B2M,BST2,C1QC,CASP1,CASP4,CD14,CD58,CFB,CFI,CLU,CYBA,DEFB1,DUSP10,GSN,IFI16,IFI27,IFI30,IFI35,IFI6,IFIT2,IFITM3,ISG15,ISG20,KRT16,LCN2,LGALS3,LGALS9,MIR21,MUC1,MUC16,MUC4,MX1,MYD88,NLRP2,OAS1,OAS2,PQBP1,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PYCARD,RAB20,RARRES2,RPL39,S100A8,S100A9,SAA1,SERINC3,SERPING1,SLPI,TNFRSF14,TRIM29"
GO:0033209,tumor necrosis factor-mediated signaling pathway,159,16,3.91,69,2e-6,2e-6,0.02144638721426215,"CARD16,CASP1,CASP4,KRT18,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PYCARD,TMSB4X,TNFRSF11B,TNFRSF14,TNFRSF1A,TNFRSF6B"
GO:0051607,defense response to virus,228,19,5.61,79,3.8e-6,3.8e-6,0.034926973463226936,"APOBEC3A,APOBEC3B,APOBEC3C,BST2,IFI16,IFI27,IFI6,IFIT2,IFITM3,IL1B,ISG15,ISG20,MX1,OAS1,OAS2,PQBP1,PYCARD,RTP4,SERINC3"
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,181,16,4.45,93,1.1e-5,1.1e-5,0.0857855488570486,"BST2,C18orf32,CARD16,CASP1,CXXC5,HMOX1,IL1B,IL1RN,LGALS9,LITAF,MYD88,RHOC,TGM2,TNFRSF1A,TNFSF10,ZDHHC13"
GO:0002576,platelet degranulation,124,13,3.05,97,1.2e-5,1.2e-5,0.0857855488570486,"CD9,CLU,CYB5R1,FN1,LGALS3BP,QSOX1,RARRES2,SCCPDH,SERPINA1,SERPING1,TIMP1,TMSB4X,TUBA4A"
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",47,8,1.16,107,1.7e-5,1.7e-5,0.10937657479273696,"NDUFA1,NDUFA13,NDUFA2,NDUFA7,NDUFB3,NDUFB7,NDUFB9,NDUFS2"
GO:1902600,proton transmembrane transport,134,13,3.3,117,2.7e-5,2.7e-5,0.15792339675956674,"ATP6V1B1,ATP6V1F,C15orf48,COX5B,COX6B1,COX7A2,COX7C,COX8C,MFSD3,NDUFA4L2,SLC9A3R1,TMSB4X,UCP2"
GO:0032981,mitochondrial respiratory chain complex I assembly,55,8,1.35,135,5.6e-5,5.6e-5,0.3002494209996701,"NDUFA1,NDUFA13,NDUFA2,NDUFA7,NDUFB3,NDUFB7,NDUFB9,NDUFS2"
GO:0045429,positive regulation of nitric oxide biosynthetic process,42,7,1.03,138,6.7e-5,6.7e-5,0.33159414077436095,"AGT,AIF1,ASS1,CLU,HBB,IL1B,P2RX4"
GO:2000778,positive regulation of interleukin-6 secretion,31,6,0.76,147,9.4e-5,9.4e-5,0.428927744285243,"AIF1,IL1B,LGALS9,PAEP,PYCARD,XBP1"
GO:0072608,interleukin-10 secretion,11,4,0.27,149,1e-4,1e-4,0.428927744285243,"ISG15,LGALS9,PYCARD,TNFRSF21"
GO:0006521,regulation of cellular amino acid metabolic process,62,8,1.53,155,1.3e-4,1.3e-4,0.5227556883476399,"COMT,MIR21,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2"
GO:0009972,cytidine deamination,12,4,0.3,159,1.5e-4,1.5e-4,0.5676984850834098,"APOBEC3A,APOBEC3B,APOBEC3C,CDA"
GO:0032496,response to lipopolysaccharide,323,23,7.95,89,1.8e-4,5.5e-6,0.6433916164278646,"ACP5,ADM,ASS1,CARD16,CASP1,CD14,COMT,DUSP10,GJB2,IL1B,IL1RN,LCN2,LGALS9,LITAF,MGST1,MIR21,PTGES,PYCARD,S100A14,S100A8,SLPI,TSPO,XBP1"
GO:0010951,negative regulation of endopeptidase activity,241,20,5.93,71,3e-4,2.3e-6,1,"AGT,ANXA8L1,BST2,CARD16,CST3,CST5,CST6,CST7,GPX1,IFI16,IFI6,MIRLET7B,PLAUR,PRDX5,RARRES1,SERPINA1,SERPINE2,SERPING1,SLPI,TIMP1"
GO:0045454,cell redox homeostasis,72,8,1.77,187,3.8e-4,3.8e-4,1,"CYBA,GLRX2,GPX1,NCF4,PRDX5,PTGES2,QSOX1,SH3BGRL3"
GO:2000484,positive regulation of interleukin-8 secretion,15,4,0.37,192,4e-4,4e-4,1,"CD14,CD58,LGALS9,PYCARD"
GO:0070268,cornification,112,10,2.76,197,4.4e-4,4.4e-4,1,"KRT13,KRT16,KRT17,KRT18,KRT19,KRT4,KRT7,KRT81,PRSS8,SPRR3"
GO:0030855,epithelial cell differentiation,665,37,16.36,78,4.5e-4,3.3e-6,1,"AGR2,ANXA7,AQP3,ASAH1,CCND1,CNFN,DHRS9,DLX5,EDF1,GPX1,GRHL1,IL1B,KRT13,KRT16,KRT17,KRT18,KRT19,KRT4,KRT7,KRT81,LBH,LGALS3,MIR21,PGK1,PRSS8,RAB25,RHCG,SCEL,SLC44A4,SLC9A3R1,SPRR3,SULT2B1,TCF21,TNFRSF1A,TXNIP,UPK2,XBP1"
GO:0097191,extrinsic apoptotic signaling pathway,218,18,5.36,90,4.5e-4,7.8e-6,1,"AGT,CIB1,CTTN,GPX1,HMOX1,IFI27,IFI6,IL1B,KRT18,LCN2,LGALS3,MAL,MIR222,NDUFA13,PYCARD,TMBIM1,TNFRSF1A,TNFSF10"
GO:0070293,renal absorption,16,4,0.39,211,5.2e-4,5.2e-4,1,"AQP3,GSN,HBB,SLC9A3R1"
GO:0071621,granulocyte chemotaxis,117,10,2.88,222,6.3e-4,6.3e-4,1,"CXCL17,EDN2,IL1B,IL1RN,LGALS3,RARRES2,S100A14,S100A8,S100A9,SAA1"
GO:0008285,negative regulation of cell population proliferation,705,32,17.35,226,6.6e-4,6.6e-4,1,"ADM,AIF1,B2M,CD9,CIB1,COMT,DUSP10,GPNMB,HMOX1,HPN,IGFBP3,IL1B,KRT4,LGALS9,MEIS1,MIR21,MIR222,NDRG2,NUPR1,PTGES,RARRES1,SERPINE2,SKAP2,SLC9A3R1,SLURP1,SULT2B1,TAX1BP3,TFF1,TNFRSF14,TNFRSF21,TSPO,VTCN1"
GO:0070498,interleukin-1-mediated signaling pathway,100,9,2.46,236,8e-4,8e-4,1,"IL1B,IL1RN,MYD88,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2"
GO:0009312,oligosaccharide biosynthetic process,18,4,0.44,237,8.4e-4,8.4e-4,1,"FBP1,FUT3,SLC2A1,ST3GAL4"
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,82,8,2.02,242,9.1e-4,9.1e-4,1,"CASP1,CASP4,CTSH,F3,PYCARD,S100A8,S100A9,TNFSF10"
GO:0022900,electron transport chain,167,20,4.11,32,9.6e-4,5.4e-9,1,"C15orf48,COX5B,COX6B1,COX7A2,COX7C,COX8C,CYBA,DHRS3,GLRX2,NDUFA1,NDUFA13,NDUFA2,NDUFA4L2,NDUFA7,NDUFB3,NDUFB7,NDUFB9,NDUFS2,PTGES2,SH3BGRL3"
GO:0042742,defense response to bacterium,242,15,5.95,250,0.001,0.001,1,"ACP5,CYBA,DEFB1,ISG15,LCN2,MYD88,PYCARD,RARRES2,RPL39,S100A14,S100A8,S100A9,SLPI,TNFRSF14,TNFRSF1A"
GO:0001666,response to hypoxia,347,19,8.54,251,0.00102,0.00102,1,"ADM,AGTRAP,ANGPTL4,AQP3,ATP1B1,CARD16,CYBA,HMOX1,MIR21,PGK1,PLAT,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,SLC2A1,UCP2"
GO:0033194,response to hydroperoxide,19,4,0.47,252,0.00104,0.00104,1,"AIF1,GPX1,GPX3,MGST1"
GO:0032026,response to magnesium ion,19,4,0.47,253,0.00104,0.00104,1,"CCND1,CD14,FBP1,TNFRSF11B"
GO:0019730,antimicrobial humoral response,105,9,2.58,256,0.00114,0.00114,1,"CLU,DEFB1,LCN2,PDZD11,RARRES2,RPL39,S100A8,S100A9,SLPI"
GO:0050891,multicellular organismal water homeostasis,67,7,1.65,264,0.00127,0.00127,1,"AQP3,ATP6V1B1,CYP4F12,ELOVL1,GRHL1,KRT16,SCNN1A"
GO:0042552,myelination,129,10,3.17,266,0.00133,0.00133,1,"CD9,CLU,CST7,KLK6,KLK8,MAL,MAL2,MALL,TNFRSF21,TYMP"
GO:0002223,stimulatory C-type lectin receptor signaling pathway,108,9,2.66,271,0.00139,0.00139,1,"MUC1,MUC16,MUC4,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2"
GO:0038061,NIK/NF-kappaB signaling,178,12,4.38,284,0.00155,0.00155,1,"CD14,IL1B,LGALS9,LITAF,MIR21,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TMSB4X"
GO:2000665,regulation of interleukin-13 secretion,10,3,0.25,287,0.00156,0.00156,1,"LGALS9,PAEP,TNFRSF21"
GO:0071281,cellular response to iron ion,10,3,0.25,288,0.00156,0.00156,1,"B2M,HMOX1,SLC40A1"
GO:0048246,macrophage chemotaxis,36,5,0.89,295,0.00177,0.00177,1,"CXCL17,EDN2,LGALS3,RARRES2,SAA1"
GO:0001818,negative regulation of cytokine production,283,16,6.96,298,0.0018,0.0018,1,"ACP5,BST2,CARD16,FN1,GPNMB,HMOX1,ISG15,LGALS9,MIR21,MIR222,NDRG2,PYCARD,TMSB4X,TNFRSF21,TSPO,UBE2L6"
GO:2000117,negative regulation of cysteine-type endopeptidase activity,91,8,2.24,299,0.0018,0.0018,1,"CARD16,CST7,GPX1,IFI16,IFI6,MIRLET7B,PLAUR,PRDX5"
GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,91,8,2.24,300,0.0018,0.0018,1,"CLU,GPX1,HSPB1,MIR21,MUC1,NDUFA13,PLAUR,XBP1"
GO:0071294,cellular response to zinc ion,22,4,0.54,303,0.0018600000000000001,0.0018600000000000001,1,"MT1H,MT1X,P2RX4,TSPO"
GO:0071346,cellular response to interferon-gamma,159,11,3.91,309,0.00195,0.00195,1,"AIF1,ASS1,B2M,CASP1,CD58,GSN,IFI30,LGALS9,OAS1,OAS2,RAB20"
GO:0071356,cellular response to tumor necrosis factor,276,25,6.79,35,0.00197,2.2e-8,1,"ASAH1,ASS1,CARD16,CASP1,CASP4,CD58,CIB1,CYBA,KRT18,LCN2,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PYCARD,TANK,TMSB4X,TNFRSF11B,TNFRSF14,TNFRSF1A,TNFRSF21,TNFRSF6B,ZFAND6"
GO:0007173,epidermal growth factor receptor signaling pathway,114,9,2.81,314,0.00202,0.00202,1,"AGR2,AGT,ARF4,EFEMP1,FAM83A,GPRC5A,IFI6,MIR21,PLAUR"
GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,54,6,1.33,315,0.00204,0.00204,1,"NUPR1,PLEKHF1,S100A8,S100A9,SERINC3,SLC9A3R1"
GO:0030449,regulation of complement activation,54,6,1.33,316,0.00204,0.00204,1,"C1QC,CFB,CFI,CLU,IL1B,SERPING1"
GO:2001198,regulation of dendritic cell differentiation,11,3,0.27,320,0.00211,0.00211,1,"LGALS9,TMEM176A,TMEM176B"
GO:0070254,mucus secretion,11,3,0.27,321,0.00211,0.00211,1,"AGR2,CYBA,VAMP8"
GO:0031639,plasminogen activation,23,4,0.57,324,0.00221,0.00221,1,"HPN,PGK1,PLAT,SERPINE2"
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,23,4,0.57,325,0.00221,0.00221,1,"PSMA7,PSMB10,PSMB8,PSMB9"
GO:0016266,O-glycan processing,56,6,1.38,331,0.00246,0.00246,1,"B3GNT3,GCNT3,MUC1,MUC16,MUC4,ST3GAL4"
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,39,5,0.96,334,0.00255,0.00255,1,"GPX1,HMOX1,MIR222,TMBIM1,TNFSF10"
GO:0048678,response to axon injury,76,7,1.87,338,0.00264,0.00264,1,"AIF1,ARF4,FOLR1,KLK8,MIR222,P2RX4,TSPO"
GO:0007584,response to nutrient,215,13,5.29,339,0.00264,0.00264,1,"AQP3,ASS1,CCND1,CYBA,DAD1,FOLR1,GSN,HMOX1,IL1B,P2RX4,TNFRSF11B,TSPO,XBP1"
